"","Station","Cam","Habitat","Cluster","Vertcover_50","Dcrops","MSAVI","Slope","Effort","Dpop_G","X","utm_x","utm_y","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to"
"1","C1T2P1","MoultrieA30","Scrub","1",-0.474460167989714,0.676536845227323,0.73168194646305,-0.219555007211602,-0.208067990902727,-0.426097356191889,1,693961,2009932,"2018-01-23","2018-04-23",NA,NA,"2018-03-14","2018-03-19",NA,NA
"2","C1T2P11","Moultrie","Scrub","1",0.651915742631535,1.46204480279002,-0.866615191881584,-0.992730100950781,-1.46053976426641,-0.316745014039031,2,693553,2009643,"2018-01-23","2018-04-23","2018-01-23","2018-02-24","2018-03-02","2018-03-19","2018-04-21","2018-04-23"
"3","C1T2P21","MoultrieA30","Scrub","1",-0.924334030189792,2.21930585584048,-0.583887043263311,-1.02586941790604,-0.0719297546675442,-0.180543414827429,3,693144,2009355,"2018-01-23","2018-04-23",NA,NA,NA,NA,NA,NA
"4","C1T4P1","Primos","Columnar","1",-0.924334030189792,0.460349463054274,-0.143011029073258,1.41836580363757,-0.888759172078642,-0.192271422549851,4,693673,2010340,"2018-01-23","2018-04-23","2018-02-17","2018-02-24","2018-02-24","2018-03-19",NA,NA
"5","C1T4P11","MoultrieA30","Scrub","1",-1.15096221641088,1.17231536197779,0.212945658101736,-0.0597005889667775,-0.0719297546675442,-0.0948150761946442,5,693264,2010052,"2018-01-23","2018-04-23",NA,NA,NA,NA,NA,NA
"6","C1T4P21","Primos","Scrub","1",0.651915742631535,1.90526275716346,0.528453048480945,-1.02586941790604,-0.0719297546675442,0.0268169068542471,6,692856,2009763,"2018-01-23","2018-04-23",NA,NA,NA,NA,NA,NA
"7","C1T6P1","MoultrieA30","Scrub","1",1.5550459772738,0.170703411583851,-1.71622054598244,-0.595058272929865,-0.0174744601734711,0.0455840205387649,7,693384,2010748,"2018-01-21","2018-04-23",NA,NA,NA,NA,NA,NA
"8","C1T6P11","Moultrie","Scrub","1",1.10517211507372,0.942064205684959,-1.36163924991339,-0.906383909162118,-0.0991574019145808,0.132471947113781,8,692976,2010460,"2018-01-22","2018-04-23",NA,NA,NA,NA,"2018-03-19","2018-03-21"
"9","C1T6P21","MoultrieA30","Scrub","1",1.78167416349489,1.71956232837487,-1.23349110454668,-1.02586941790604,-1.78727153123085,0.242890190703894,9,692567,2010171,"2018-01-22","2018-04-23","2018-02-01","2018-02-24","2018-02-24","2018-03-19","2018-04-05","2018-04-23"
"10","C2T1P1","Primos","Scrub","2",-0.0245863057896353,1.24870128923056,-0.559671608442187,-0.257208641678746,0.717672015496517,0.841608276846302,10,691248,2010115,"2018-04-24","2018-08-21",NA,NA,NA,NA,NA,NA
"11","C2T1P11","Moultrie","Scrub","2",2.00491983947388,1.27244851834343,1.11033012125449,-0.372259928996592,0.309257306790968,0.635713047915034,11,691548,2009715,"2018-04-24","2018-08-21",NA,NA,"2018-05-20","2018-06-04",NA,NA
"12","C2T1P21","Primos","Scrub","2",-1.15096221641088,1.05342699337281,0.211294720088958,0.0561178434634289,-0.371433874384947,0.43725772056747,12,691849,2009315,"2018-04-24","2018-08-21",NA,NA,"2018-06-17","2018-06-18","2018-07-13","2018-08-21"
"13","C2T2P1","MoultrieA30","Scrub","2",-1.15096221641088,0.461338040109721,0.332908582394111,-0.639401895141156,0.472623190273187,1.03219630041182,13,690783,2009920,"2018-04-24","2018-08-21",NA,NA,NA,NA,"2018-08-12","2018-08-21"
"14","C2T2P11","Primos","Scrub","2",-1.15096221641088,0.582306640092331,0.14053900152473,-0.951767650360492,-2.33182447617158,0.833856991663174,14,691084,2009520,"2018-04-24","2018-08-21","2018-04-28","2018-05-20","2018-05-23","2018-06-18","2018-06-18","2018-08-21"
"15","C2T2P21","MoultrieA30","Scrub","2",-1.03933937842139,0.345641645252123,0.163482069821694,-0.615958713272708,-0.398661521631983,0.644596239582006,15,691384,2009121,"2018-04-24","2018-08-21",NA,NA,NA,NA,"2018-07-11","2018-08-21"
"16","C2T3P1","Primos","Scrub","2",0.428670066652549,-0.32817418114566,0.641979926799024,0.236038157902944,0.499850837520224,1.23412404197062,16,690311,2009723,"2018-04-24","2018-08-21",NA,NA,NA,NA,"2018-08-13","2018-08-21"
"17","C2T3P11","Moultrie","Scrub","2",-0.924334030189792,-0.126126267161895,-1.3788627286983,-0.342684865504832,0.527078484767261,1.04341102409355,17,690612,2009323,"2018-04-24","2018-08-21","2018-05-13","2018-05-20",NA,NA,NA,NA
"18","C2T3P21","Primos","Scrub","2",0.428670066652549,-0.291169031239543,-0.368639075592002,-0.0597005889667775,-0.316978579890873,0.8620633724648,18,690912,2008923,"2018-04-24","2018-08-21",NA,NA,"2018-06-16","2018-06-18","2018-07-16","2018-08-21"
"19","C3T0P1","Primos","Scrub","3",1.5550459772738,-0.898910089921008,-0.472248321154963,-0.621352502155566,-0.861531524831605,0.591866582518587,19,691396,2007831,"2018-01-24","2018-04-22",NA,NA,NA,NA,"2018-03-26","2018-04-22"
"20","C3T0P11","Moultrie","Scrub","3",-0.0347338365159527,-0.832522945503445,-0.211516768981527,0.105244944037693,-0.126385049161617,0.452743608730327,20,691697,2007431,"2018-01-24","2018-04-22",NA,NA,NA,NA,NA,NA
"21","C3T0P21","Primos","Scrub","3",1.11531964580004,-1.04409069172475,0.0315552110998323,-0.659833686384511,-0.126385049161617,0.331852077896382,21,691997,2007031,"2018-01-24","2018-04-22",NA,NA,NA,NA,NA,NA
"22","C3T1P1","MoultrieA30","Scrub","3",-0.701088354210806,-0.148507097889669,0.364147099154259,0.222036028369655,-0.126385049161617,0.355626498231927,22,691867,2008028,"2018-01-24","2018-04-22",NA,NA,NA,NA,NA,NA
"23","C3T1P11","Primos","Scrub","3",-0.0245863057896353,-0.0712554485644172,-0.528418714821618,-0.385842909000951,-0.616482699608276,0.209616175643417,23,692168,2007628,"2018-01-24","2018-04-22",NA,NA,"2018-02-23","2018-03-13",NA,NA
"24","C3T1P21","MoultrieA30","Columnar","3",0.0904190424419639,-0.49367025221212,-0.249409385557982,1.28772026289126,-1.51499505876048,0.082457966036818,24,692468,2007229,"2018-01-24","2018-04-22",NA,NA,"2018-02-26","2018-03-20","2018-03-24","2018-04-22"
"25","C3T3P1","Primos","Scrub","3",0.202041880431457,0.625505987988576,-4.34860452479731,-1.02586941790604,-1.29717388078419,0.122753582416251,25,692333,2008223,"2018-01-24","2018-04-22","2018-01-30","2018-02-23","2018-03-01","2018-03-20",NA,NA
"26","C3T3P11","Moultrie","Scrub","3",-0.701088354210806,0.412161849040556,0.0105170624318511,-0.461527180055558,-0.725393288596422,-0.0274891317786742,26,692633,2007823,"2018-01-24","2018-04-22","2018-02-01","2018-02-23",NA,NA,NA,NA
"27","C3T3P21","Primos","Columnar","3",0.651915742631535,-0.184138059621218,0.510493948878847,-0.163610135172907,-0.752620935843459,-0.162518942189564,27,692934,2007423,"2018-01-24","2018-04-22","2018-01-24","2018-02-16",NA,NA,NA,NA
"28","C4T1P1","Primos","Columnar","4",-0.474460167989714,-0.704504755869014,0.0967159300244213,0.777713475291975,-1.26994623353715,-0.861584830889567,28,695125,2009976,"2018-04-26","2018-08-23","2018-05-08","2018-05-19",NA,NA,"2018-06-22","2018-08-23"
"29","C4T1P11","Moultrie","Columnar","4",-1.15096221641088,0.0815260624445391,-0.348492306647013,0.156976779359387,-0.50757211062013,-0.807246954021522,29,694717,2009688,"2018-04-26","2018-08-23",NA,NA,NA,NA,"2018-07-09","2018-08-23"
"30","C4T1P21","Primos","Columnar","4",-0.0245863057896353,0.858196314034928,-0.0264242804210972,-1.02586941790604,-0.562027405114203,-0.710077198864854,30,694308,2009399,"2018-04-26","2018-08-23",NA,NA,NA,NA,"2018-07-07","2018-08-23"
"31","C4T2P1","MoultrieA30","Columnar","4",1.10517211507372,-0.847208345137754,1.11000664189501,0.680081426876193,0.418167895779114,-1.10969927960661,31,695414,2009568,"2018-04-26","2018-08-23","2018-05-08","2018-05-19",NA,NA,NA,NA
"32","C4T2P11","Primos","Columnar","4",-1.15096221641088,-0.060594876721816,1.42312986000309,1.06401067792024,-1.13380799730197,-1.04256808611617,32,695005,2009280,"2018-04-26","2018-06-16",NA,NA,NA,NA,NA,NA
"33","C4T2P21","MoultrieA30","Scrub","4",-1.15096221641088,0.72638340872246,-0.0202709841607106,-1.02586941790604,0.717672015496517,-0.926699885483628,33,694597,2008991,"2018-04-26","2018-08-23",NA,NA,NA,NA,NA,NA
"34","C4T3P1","Primos","Columnar","4",-0.0245863057896353,-0.963942835379819,0.750426985893807,-0.752595614848395,0.663216721002443,-1.35595542523022,34,695702,2009160,"2018-04-26","2018-08-23",NA,NA,"2018-06-15","2018-06-16","2018-08-22","2018-08-23"
