"","Station","Species","n_events"
"1","C1T2P1","Odocoileus virginianus",0
"2","C1T2P1","Sylvilagus floridanus",31
"3","C1T2P1","Urocyon cinereoargenteus",4
"4","C1T2P11","Odocoileus virginianus",3
"5","C1T2P11","Sylvilagus floridanus",30
"6","C1T2P11","Urocyon cinereoargenteus",4
"7","C1T2P21","Odocoileus virginianus",10
"8","C1T2P21","Sylvilagus floridanus",18
"9","C1T2P21","Urocyon cinereoargenteus",6
"10","C1T4P1","Odocoileus virginianus",1
"11","C1T4P1","Sylvilagus floridanus",0
"12","C1T4P1","Urocyon cinereoargenteus",0
"13","C1T4P11","Odocoileus virginianus",12
"14","C1T4P11","Sylvilagus floridanus",37
"15","C1T4P11","Urocyon cinereoargenteus",8
"16","C1T4P21","Odocoileus virginianus",0
"17","C1T4P21","Sylvilagus floridanus",0
"18","C1T4P21","Urocyon cinereoargenteus",0
"19","C1T6P1","Odocoileus virginianus",0
"20","C1T6P1","Sylvilagus floridanus",5
"21","C1T6P1","Urocyon cinereoargenteus",3
"22","C1T6P21","Odocoileus virginianus",1
"23","C1T6P21","Sylvilagus floridanus",18
"24","C1T6P21","Urocyon cinereoargenteus",3
"25","C2T1P1","Odocoileus virginianus",3
"26","C2T1P1","Sylvilagus floridanus",2
"27","C2T1P1","Urocyon cinereoargenteus",0
"28","C2T1P11","Odocoileus virginianus",2
"29","C2T1P11","Sylvilagus floridanus",0
"30","C2T1P11","Urocyon cinereoargenteus",0
"31","C2T1P21","Odocoileus virginianus",0
"32","C2T1P21","Sylvilagus floridanus",1
"33","C2T1P21","Urocyon cinereoargenteus",2
"34","C2T2P1","Odocoileus virginianus",3
"35","C2T2P1","Sylvilagus floridanus",55
"36","C2T2P1","Urocyon cinereoargenteus",6
"37","C2T2P11","Odocoileus virginianus",0
"38","C2T2P11","Sylvilagus floridanus",0
"39","C2T2P11","Urocyon cinereoargenteus",0
"40","C2T2P21","Odocoileus virginianus",5
"41","C2T2P21","Sylvilagus floridanus",4
"42","C2T2P21","Urocyon cinereoargenteus",8
"43","C2T3P1","Odocoileus virginianus",5
"44","C2T3P1","Sylvilagus floridanus",1
"45","C2T3P1","Urocyon cinereoargenteus",11
"46","C2T3P11","Odocoileus virginianus",3
"47","C2T3P11","Sylvilagus floridanus",0
"48","C2T3P11","Urocyon cinereoargenteus",0
"49","C2T3P21","Odocoileus virginianus",5
"50","C2T3P21","Sylvilagus floridanus",6
"51","C2T3P21","Urocyon cinereoargenteus",12
"52","C3T0P1","Odocoileus virginianus",0
"53","C3T0P1","Sylvilagus floridanus",2
"54","C3T0P1","Urocyon cinereoargenteus",0
"55","C3T0P11","Odocoileus virginianus",0
"56","C3T0P11","Sylvilagus floridanus",0
"57","C3T0P11","Urocyon cinereoargenteus",0
"58","C3T0P21","Odocoileus virginianus",2
"59","C3T0P21","Sylvilagus floridanus",0
"60","C3T0P21","Urocyon cinereoargenteus",0
"61","C3T1P1","Odocoileus virginianus",1
"62","C3T1P1","Sylvilagus floridanus",7
"63","C3T1P1","Urocyon cinereoargenteus",4
